case_id,trade_nm,legal_name,street_addr_1_txt,cty_nm,st_cd,zip_cd,naic_cd,naics_code_description,case_violtn_cnt,cmp_assd_cnt,ee_violtd_cnt,bw_atp_amt,ee_atp_cnt,findings_start_date,findings_end_date,flsa_violtn_cnt,flsa_repeat_violator,flsa_bw_atp_amt,flsa_ee_atp_cnt,flsa_mw_bw_atp_amt,flsa_ot_bw_atp_amt,flsa_15a3_bw_atp_amt,flsa_cmp_assd_amt,sca_violtn_cnt,sca_bw_atp_amt,sca_ee_atp_cnt,mspa_violtn_cnt,mspa_bw_atp_amt,mspa_ee_atp_cnt,mspa_cmp_assd_amt,h1b_violtn_cnt,h1b_bw_atp_amt,h1b_ee_atp_cnt,h1b_cmp_assd_amt,fmla_violtn_cnt,fmla_bw_atp_amt,fmla_ee_atp_cnt,fmla_cmp_assd_amt,flsa_cl_violtn_cnt,flsa_cl_minor_cnt,flsa_cl_cmp_assd_amt,dbra_cl_violtn_cnt,dbra_bw_atp_amt,dbra_ee_atp_cnt,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,flsa_smw14_violtn_cnt,flsa_smw14_bw_amt,flsa_smw14_ee_atp_cnt,cwhssa_violtn_cnt,cwhssa_bw_amt,cwhssa_ee_cnt,osha_violtn_cnt,osha_bw_atp_amt,osha_ee_atp_cnt,osha_cmp_assd_amt,eppa_violtn_cnt,eppa_bw_atp_amt,eppa_ee_cnt,eppa_cmp_assd_amt,h1a_violtn_cnt,h1a_bw_atp_amt,h1a_ee_atp_cnt,h1a_cmp_assd_amt,crew_violtn_cnt,crew_bw_atp_amt,crew_ee_atp_cnt,crew_cmp_assd_amt,ccpa_violtn_cnt,ccpa_bw_atp_amt,ccpa_ee_atp_cnt,flsa_smwpw_violtn_cnt,flsa_smwpw_bw_atp_amt,flsa_smwpw_ee_atp_cnt,flsa_hmwkr_violtn_cnt,flsa_hmwkr_bw_atp_amt,flsa_hmwkr_ee_atp_cnt,flsa_hmwkr_cmp_assd_amt,ca_violtn_cnt,ca_bw_atp_amt,ca_ee_atp_cnt,pca_violtn_cnt,pca_bw_atp_amt,pca_ee_atp_cnt,flsa_smwap_violtn_cnt,flsa_smwap_bw_atp_amt,flsa_smwap_ee_atp_cnt,flsa_smwft_violtn_cnt,flsa_smwft_bw_atp_amt,flsa_smwft_ee_atp_cnt,flsa_smwl_violtn_cnt,flsa_smwl_bw_atp_amt,flsa_smwl_ee_atp_cnt,flsa_smwmg_violtn_cnt,flsa_smwmg_bw_atp_amt,flsa_smwmg_ee_atp_cnt,flsa_smwsl_violtn_cnt,flsa_smwsl_bw_atp_amt,flsa_smwsl_ee_atp_cnt,eev_violtn_cnt,h2b_violtn_cnt,h2b_bw_atp_amt,h2b_ee_atp_cnt,sraw_violtn_cnt,sraw_bw_atp_amt,sraw_ee_atp_cnt,load_dt,address,lat,lng
1877106,Mor-Farm of New Mexico,Bret Morrison dba Mor-Farms of New Mexico,10801-2 Highway 28,Chamberino,NM,88027,112910,Apiculture,6,NA,6,2628.56,6,2019-02-06 00:00:00,2019-02-27 00:00:00,6,R,2628.56,6,2628.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-26 10:03:59,"10801-2 Highway 28, Chamberino, NM, 88027",32.0601143,-106.6780297
1877414,"Clean Harvest/(Santillan, Ivan FLC)","Clean Harvest, Inc.",1105 Salinas St.,Pharr,TX,78577,111219,Other Vegetable (except Potato) and Melon Farming,1,NA,0,0,0,2019-02-27 00:00:00,2019-03-12 00:00:00,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-26 10:03:59,"1105 Salinas St., Pharr, TX, 78577",26.1183489,-98.2114991
1877418,"Clean Harvest/Fajardo, Delfino FLC","Clean Harvest, Inc.",2200 Trophy,McAllen,TX,78504,111219,Other Vegetable (except Potato) and Melon Farming,3,NA,1,0,0,2019-03-12 00:00:00,2019-03-12 00:00:00,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-26 10:03:59,"2200 Trophy, McAllen, TX, 78504",26.248785,-98.23573929999999
1878199,Mobil,Greenpoint Expressway Inc.,3515 GREENPOINT AVE,Long Island City,NY,11101,447110,Gasoline Stations with Convenience Stores,1,NA,0,0,0,2019-03-09 00:00:00,2019-04-05 00:00:00,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-26 10:03:59,"3515 GREENPOINT AVE, Long Island City, NY, 11101",40.737519,-73.93063190000001
1877820,Dickey's Barbecue Pit,"Tucker Family Restaurants, LLC",5801 University Ave. Suite B1,San Diego,CA,92115,72221,Limited-Service Eating Places,1,NA,0,0,0,2019-02-22 00:00:00,2019-03-07 00:00:00,1,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:37,"5801 University Ave. Suite B1, San Diego, CA, 92115",32.748746,-117.072099
1879457,Mission Staffing,Mission Staffing Group Inc,2150 N. Josey Ln.,Carrollton,TX,75006,561320,Temporary Help Services,56,NA,35,10849.71,34,2019-03-25 00:00:00,2019-04-03 00:00:00,56,N/A,10849.71,34,9189.18,1660.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:38,"2150 N. Josey Ln., Carrollton, TX, 75006",32.9751471,-96.88813350000001
1879793,Southern Hospitality,Southern Hospitality LLC,212 Woodward Ave,Muscle Shoals,AL,35661,44619,Other Health and Personal Care Stores,94,NA,47,22716.84,47,2019-03-22 00:00:00,2019-04-06 00:00:00,94,N/A,22716.84,47,13565.2,9151.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:38,"212 Woodward Ave, Muscle Shoals, AL, 35661",34.7580298,-87.6679308
1879794,PPC Farms,"PPC Farms, LLC",805 Trinity St.,Mission,TX,78572,115114,Postharvest Crop Activities (except Cotton Ginning),4,NA,0,0,0,2019-03-25 00:00:00,2019-03-31 00:00:00,2,N/A,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:38,"805 Trinity St., Mission, TX, 78572",26.1931787,-98.3198802
1882109,Fieldview at Holland,"Holland Partners, LLC",7130 W Maple Street,Wichita,KS,67209,623220,Residential Mental Health and Substance Abuse Facilities,31,NA,26,28112.18,26,2019-03-01 00:00:00,2019-04-20 00:00:00,31,N/A,28112.18,26,22352.16,5760.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:39,"7130 W Maple Street, Wichita, KS, 67209",37.6807022,-97.424827
1882125,Vavco LLC,BECO Inc.,101 Mahood Road,Butler,PA,16001,211111,Crude Petroleum and Natural Gas Extraction,4,NA,3,1584.7,3,2019-04-01 00:00:00,2019-05-19 00:00:00,4,N/A,1584.7,3,0,1584.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-27 11:37:39,"101 Mahood Road, Butler, PA, 16001",40.9390283,-79.960319
