District_Office,Lat,Lon,Office
Caribbean District Office,12.202,-67.1686,Mayaguez FO
Wilkes Barre PA District Office,38.8449,-77.4758,Home Address
Hartford CT District Office,41.7696804,-72.6801,Hartford DO
Hartford CT District Office,41.30587942,-72.92273707,New Haven AO
Philadelphia PA District Office,39.74487,-75.54835,Wilmington FO
Boston MA District Office,42.3612,-71.06083,Boston DO
Boston MA District Office,42.1028633,-72.5909042,Springfield FO
Boston MA District Office,41.90553,-71.10289,Tauton AO
Baltimore MD District Office,39.2893,-76.6165,Baltimore DO
Baltimore MD District Office,38.9687,-76.95387,Hyattsville AO
Manchester NH District Office,44.80469683,-68.77329578,Bangor FO
Manchester NH District Office,43.6572,-70.2516,Portland FO
Manchester NH District Office,42.99398297,-71.46319149,Manchester DO
Southern NJ District Office,40.2838,-74.7147,Southern New Jersey DO
Southern NJ District Office,39.9043,-74.93637,Marlton FO
Northern NJ District Office,40.6854,-74.3435,Northern New Jersey DO
Albany NY District Office,42.9692,-78.9492,Buffalo AO
Albany NY District Office,42.1008,-75.9128,Binghamton FO
Albany NY District Office,43.0505,-76.1535,Syracuse AO
Albany NY District Office,42.6551387,-73.749201,Albany DO
Albany NY District Office,43.15759234,-77.6140095,Rochester FO
Albany NY District Office,41.70495,-73.9317,Poughkeepsie FO
Albany NY District Office,43.0813,-75.2258,Utica FO
Albany NY District Office,41.028965,-73.7682953,White Plains AO
Long Island NY District Office,40.7466,-73.5955,Long Island DO
New York City District Office,40.759,-74.0393,New York DO and Regional Office
New York City District Office,40.69352321,-73.98544212,Brooklyn AO
Wilkes Barre PA District Office,41.24234,-75.8778,Wilkes Barre DO
Philadelphia PA District Office,39.94817,-75.15107,Philadelphia RO
Pittsburgh PA District Office,42.12418,-80.08181,Erie FO
Pittsburgh PA District Office,40.4436,-79.9952,Pittsburgh DO
Pittsburgh PA District Office,40.28412,-79.54879,Greensburg FO
Wilkes Barre PA District Office,40.8297,-77.8459,State College FO
Philadelphia PA District Office,39.95403111,-75.16683642,Philadelphia DO
Wilkes Barre PA District Office,40.31697168,-76.8533525,Harrisburg FO
Wilkes Barre PA District Office,40.62948876,-75.48719438,Allentown FO
Wilkes Barre PA District Office,40.3354,-75.93377959,Reading FO
Caribbean District Office,18.4104,-66.70656,Arecibo FO
Caribbean District Office,18.02623,-66.59923,Ponce FO
Caribbean District Office,18.40777,-66.10519,Caribbean DO
Hartford CT District Office,41.82121,-71.41486,Providence AO
Richmond VA District Office,37.5398,-77.4355,Richmond DO
Baltimore MD District Office,38.8902054,-77.08693,Arlington AO
Richmond VA District Office,37.0854,-76.4753,Newport News FO
Richmond VA District Office,38.3088,-77.4677,Fredericksburg FO
Richmond VA District Office,36.84631551,-76.29243877,Norfolk AO
Richmond VA District Office,37.27053,-79.94119,Roanoke FO
Manchester NH District Office,44.48068222,-73.2138,Burlington FO
Pittsburgh PA District Office,39.28047,-80.33897,Clarksburg FO
Pittsburgh PA District Office,38.3519,-81.6373,Charleston AO
Pittsburgh PA District Office,38.41916,-82.44446,Huntington FO
Jackson MS District Office,34.2639,-88.7601,Tupelo FO
Birgmingham AL District Office,32.3528,-86.2576,Montgomery AO
Birgmingham AL District Office,33.52421,-86.80869,Gulf Coast DO
Birgmingham AL District Office,34.74189,-86.65415,Huntsville FO
Birgmingham AL District Office,30.6669,-88.1332,
Birgmingham AL District Office,30.68404,-88.06072,Mobile AO
Jacksonville FL District Office,29.65098,-82.32174,Gainesville FO
Jacksonville FL District Office,30.32726,-81.66317,Jacksonville DO
Miami FL District Office,26.12235,-80.14066,Fort Lauderdale
Jacksonville FL District Office,30.41273,-87.2154,Pensacola FO
Jacksonville FL District Office,28.5589,-81.3422,Orlando AO
Tampa FL District Office,26.55733,-81.88077,Fort Myers FO
Tampa FL District Office,27.952,-82.4933,Tampa DO
Miami FL District Office,25.7012,-80.3642,Miami DO
Jacksonville FL District Office,30.4745,-84.2853,Tallahassee AO
Jacksonville FL District Office,29.18216,-81.00748,South Daytona FO
Miami FL District Office,26.69871,-80.0719,West Palm Beach AO
Tampa FL District Office,27.3376,-82.51366,Saratosa FO
Jacksonville FL District Office,28.82121,-81.88734,Leesburg FO
Jacksonville FL District Office,28.22298,-80.67662,Melbourne FO
Atlanta GA District Office,32.0784,-81.0942,Savannah AO
Atlanta GA District Office,34.31852,-83.81622,Gainesville FO
Atlanta GA District Office,33.7677,-84.4906,Atlanta DO/Regional Office
Atlanta GA District Office,33.7605,-84.3892,Atlanta North AO
Atlanta GA District Office,31.5816,-84.15297,Albany FO
Atlanta GA District Office,32.89889943,-83.6861,Macon FO
Atlanta GA District Office,33.47171,-82.0834,Augusta FO
Louisville KY District Office,36.99577,-86.44341,Bowling Green FO
Louisville KY District Office,39.05802,-84.54281,Fort Wright FO
Louisville KY District Office,38.02008,-84.55526,Lexington FO
Louisville KY District Office,38.24894,-85.76151,Louisville DO
Jackson MS District Office,31.32797,-89.29182,Hattiesburg FO
Jackson MS District Office,32.30034,-90.18863,Jackson DO
Jackson MS District Office,30.3693,-89.08625,Gulfport FO
Raleigh NC District Office,35.59389,-82.55782,Ashville FO
Raleigh NC District Office,36.09706,-80.24371,Winston Salem FO
Raleigh NC District Office,34.23631,-77.94988,Wilmington FO
Raleigh NC District Office,35.73242,-81.33482,Hickory FO
Raleigh NC District Office,35.07434,-78.88359,Fayetteville FO
Raleigh NC District Office,35.1516,-80.94852,Charlotte AO
Raleigh NC District Office,35.84084,-78.61446,Raleigh DO
